wNomeFonte;wSufixo;wSistema
b01espe014;w;HCM_espec-update_espec_syspro_object_brw
b01esst0013;w;HCM_espec-update_espec_syspro_object_brw
b01mt0728;w;HCM_espec-update_espec_syspro_object_brw
b02esfp022;w;HCM_espec-update_espec_syspro_object_brw
b02esmt004;w;HCM_espec-update_espec_syspro_object_brw
b02esmt011;w;HCM_espec-update_espec_syspro_object_brw
b02esmt013;w;HCM_espec-update_espec_syspro_object_brw
b02esop001;w;HCM_espec-update_espec_syspro_object_brw
b02esop002;w;HCM_espec-update_espec_syspro_object_brw
b02esop006;w;HCM_espec-update_espec_syspro_object_brw
b02esop007;w;HCM_espec-update_espec_syspro_object_brw
b02esst0013;w;HCM_espec-update_espec_syspro_object_brw
b03esfp022;w;HCM_espec-update_espec_syspro_object_brw
b03esmt004;w;HCM_espec-update_espec_syspro_object_brw
b03esop001;w;HCM_espec-update_espec_syspro_object_brw
b03esop002;w;HCM_espec-update_espec_syspro_object_brw
b03esop006;w;HCM_espec-update_espec_syspro_object_brw
b03esop007;w;HCM_espec-update_espec_syspro_object_brw
b03esst0013;w;HCM_espec-update_espec_syspro_object_brw
b04esfp022;w;HCM_espec-update_espec_syspro_object_brw
b04esmt004;w;HCM_espec-update_espec_syspro_object_brw
b04esop001;w;HCM_espec-update_espec_syspro_object_brw
b04esop002;w;HCM_espec-update_espec_syspro_object_brw
b05esfp022;w;HCM_espec-update_espec_syspro_object_brw
b05esmt004;w;HCM_espec-update_espec_syspro_object_brw
b05esop001;w;HCM_espec-update_espec_syspro_object_brw
b06esmt004;w;HCM_espec-update_espec_syspro_object_brw
b07esmt004;w;HCM_espec-update_espec_syspro_object_brw
b08esmt004;w;HCM_espec-update_espec_syspro_object_brw
g01esfp002;w;HCM_espec-update_espec_syspro_object_go
g01esfp022;w;HCM_espec-update_espec_syspro_object_go
g01esmt004;w;HCM_espec-update_espec_syspro_object_go
g01esmt011;w;HCM_espec-update_espec_syspro_object_go
g01esmt013;w;HCM_espec-update_espec_syspro_object_go
g01esmt014;w;HCM_espec-update_espec_syspro_object_go
g01esmt021;w;HCM_espec-update_espec_syspro_object_go
g01esop001;w;HCM_espec-update_espec_syspro_object_go
g01esop002;w;HCM_espec-update_espec_syspro_object_go
g01esop004;w;HCM_espec-update_espec_syspro_object_go
g01esop006;w;HCM_espec-update_espec_syspro_object_go
g01esop007;w;HCM_espec-update_espec_syspro_object_go
g01espe009;w;HCM_espec-update_espec_syspro_object_go
g01esst0013;w;HCM_espec-update_espec_syspro_object_go
